Year,FR-02,FR-04,FR-05,FR-09,FR-10,FR-11,FR-12,FR-13,BR-06,BR-07,BR-08,NS-14,NS-15,NS-16
1942,0.729,0.575,,,,,0.402,,0.558,0.415,,,,0.402
1941,0.803,0.583,,,,,0.545,,0.471,0.337,,,,0.248
1940,0.613,0.468,,,,,0.461,,0.532,0.294,,,,0.231
1939,0.793,,,,,,0.377,,0.549,0.329,,,,0.488
1938,0.687,,,,,,0.520,,0.427,0.307,,,,0.556
1937,0.640,,,,,,0.536,,0.549,0.391,,,,0.351
1936,0.404,,,,,,0.520,,0.619,0.316,,,,0.265
1935,0.421,,,,,,0.444,,0.523,0.324,,,,0.419
1934,0.395,,,,,,0.553,,0.680,0.357,,,,0.231
1933,0.328,,,,,,0.461,,0.505,0.299,,,,0.317
1932,0.219,,,,,,0.486,,0.619,0.341,,,,0.685
1931,0.303,,,,,,0.486,,0.776,0.391,,,,0.522
1930,0.404,,,,,,0.453,,0.192,0.307,,,,0.539
1929,0.522,,,,,,,,0.645,0.274,,,,0.462
1928,0.395,,,,,,,,,0.283,,,,0.471
1927,0.328,,,,,,,,,0.283,,,,0.291
1926,0.370,,,,,,,,,0.474,,,,0.377
1925,0.353,,,,,,,,,,,,,0.462
1924,0.286,,,,,,,,,,,,,0.325
1923,0.278,,,,,,,,,,,,,0.565
1922,0.395,,,,,,,,,,,,,0.223
1921,0.454,,,,,,,,,,,,,0.223
1920,0.581,,,,,,,,,,,,,0.711
1919,0.555,,,,,,,,,,,,,0.497
1918,0.505,,,,,,,,,,,,,0.565
1917,0.421,,,,,,,,,,,,,0.394
1916,0.631,,,,,,,,,,,,,0.539
1915,0.547,,,,,,,,,,,,,0.411
1914,,,,,,,,,,,,,,0.462
1913,,,,,,,,,,,,,,0.676
1912,,,,,,,,,,,,,,0.651
1911,,,,,,,,,,,,,,0.325
1910,,,,,,,,,,,,,,
1909,,,,,,,,,,,,,,
1908,,,,,,,,,,,,,,
1907,,,,,,,,,,,,,,
1906,,,,,,,,,,,,,,
1905,,,,,,,,,,,,,,
1904,,,,,,,,,,,,,,
1903,,,,,,,,,,,,,,
1902,,,,,,,,,,,,,,
1901,,,,,,,,,,,,,,
1900,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
