REEF_NAME,SECTOR,SHELF,LAT_DD,LON_DD,DATE,YEAR,YEARII,WEEK,WSSTA,TSASUMS_SM,PREV_1,CORAL_COVE,INC
ST. CRISP,CA,O,-16.07158,145.84515,10/28/2002,2002,3-Feb,44,5,2,19,24.1,16
ST. CRISP,CA,O,-16.07158,145.84515,1/6/2004,2004,4-Mar,1,1,0,1,25.04187838,
THETFORD,CA,M,-16.7988,146.19812,2/7/1999,1999,98/99,6,18,1,1,36.06391008,
THETFORD,CA,M,-16.7988,146.19812,2/1/2000,2000,99/00,5,4,0,3,22.95761103,2
THETFORD,CA,M,-16.7988,146.19812,9/26/2001,2001,2-Jan,39,5,0,1,5.587718906,0
THETFORD,CA,M,-16.7988,146.19812,11/1/2002,2002,3-Feb,44,4,0,60,3.846678094,59
THETFORD,CA,M,-16.7988,146.19812,1/17/2004,2004,4-Mar,2,3,0,2,5.608752554,
TURNER CA,SW,O,-21.70308,152.56012,12/9/1998,1998,98/99,49,17,2,2,33.37874341,
TURNER CA,SW,O,-21.70308,152.56012,11/24/1999,1999,99/00,47,1,0,1,32.12031417,0
TURNER CA,SW,O,-21.70308,152.56012,9/5/2000,2000,00/01,36,0,0,0,31.03463549,0
TURNER CA,SW,O,-21.70308,152.56012,8/17/2001,2001,2-Jan,33,4,0,0,19.76410256,0
TURNER CA,SW,O,-21.70308,152.56012,9/9/2002,2002,3-Feb,37,7,2,8,13.57987493,8
TURNER CA,SW,O,-21.70308,152.56012,10/21/2003,2003,4-Mar,43,0,0,0,12.90645653,
WRECK ISL,CB,O,-23.31722,151.97623,11/28/1998,1998,98/99,47,19,5,3,71.41940299,
WRECK ISL,CB,O,-23.31722,151.97623,12/6/1999,1999,99/00,49,1,1,11,69.26876409,8
WRECK ISL,CB,O,-23.31722,151.97623,9/14/2000,2000,00/01,37,0,0,16,60.90187969,5
WRECK ISL,CB,O,-23.31722,151.97623,8/7/2001,2001,2-Jan,32,3,0,77,66.62686614,61
WRECK ISL,CB,O,-23.31722,151.97623,9/16/2002,2002,3-Feb,38,7,2,221,59.7983165,144
WRECK ISL,CB,O,-23.31722,151.97623,11/1/2003,2003,4-Mar,44,1,0,17,55.99252233,
YONGE,CL,O,-14.57012,145.61827,10/12/1998,1998,98/99,41,15,0,0,54.458476,
YONGE,CL,O,-14.57012,145.61827,10/17/1999,1999,99/00,42,6,0,7,54.02063499,7
YONGE,CL,O,-14.57012,145.61827,7/19/2000,2000,00/01,29,0,0,0,57.66076336,0
YONGE,CL,O,-14.57012,145.61827,7/7/2001,2001,2-Jan,27,6,3,51,61.45152592,51
YONGE,CL,O,-14.57012,145.61827,7/31/2002,2002,3-Feb,31,1,0,30,56.98859487,0
YONGE,CL,O,-14.57012,145.61827,8/25/2003,2003,4-Mar,35,3,0,26,59.11175234,
