PolyFID,Owner,X,Y,burn50,rx_cat3,zmin_d_a,zmin_di,zm_mcov,zm_ccov,Hectares,zmin_drd,prop_timb,Prop_no_b,zmin_dr,zmin_ddv,year
705,Wildlife Resources Commission,729863.1592,76378.44495,1,2,0.123693168,4.056106445,4.717734,24.062316,2.558157,2.696164062,0.070363,0.386997,0,0,2005
705,Wildlife Resources Commission,729863.1592,76378.44495,0,1,0.123693168,4.056106445,4.717734,24.062316,2.558157,2.696164062,0.070363,0.386997,0,0,2006
705,Wildlife Resources Commission,729863.1592,76378.44495,0,2,0.123693168,4.056106445,4.717734,24.062316,2.558157,2.696164062,0.070363,0.386997,0,0,2007
707,Wildlife Resources Commission,729521.3662,76313.14306,0,2,0.339411254,4.316769531,23.459415,29.892265,2.185079,2.184032958,0,0.988521,0,0.218403289,2004
707,Wildlife Resources Commission,729521.3662,76313.14306,0,2,0.339411254,4.316769531,23.459415,29.892265,2.185079,2.184032958,0,0.988521,0,0.218403289,2005
707,Wildlife Resources Commission,729521.3662,76313.14306,0,1,0.339411254,4.316769531,23.459415,29.892265,2.185079,2.184032958,0,0.988521,0,0.218403289,2006
707,Wildlife Resources Commission,729521.3662,76313.14306,0,2,0.339411254,4.316769531,23.459415,29.892265,2.185079,2.184032958,0,0.988521,0,0.218403289,2007
708,Wildlife Resources Commission,729350.8366,75697.45199,0,2,0.318904388,4.307690917,6.435047,21.894819,41.870563,1.572927246,0.010747,0.092427,0,0.189736663,2004
708,Wildlife Resources Commission,729350.8366,75697.45199,1,2,0.318904388,4.307690917,6.435047,21.894819,41.870563,1.572927246,0.010747,0.092427,0,0.189736663,2005
708,Wildlife Resources Commission,729350.8366,75697.45199,0,1,0.318904388,4.307690917,6.435047,21.894819,41.870563,1.572927246,0.010747,0.092427,0,0.189736663,2006
708,Wildlife Resources Commission,729350.8366,75697.45199,0,2,0.318904388,4.307690917,6.435047,21.894819,41.870563,1.572927246,0.010747,0.092427,0,0.189736663,2007
712,Wildlife Resources Commission,728618.3181,77840.1272,0,1,0.403608734,3.760904052,30.099357,21.971433,2.363829,3.065436279,0,0,0,0.27,2004
712,Wildlife Resources Commission,728618.3181,77840.1272,0,2,0.403608734,3.760904052,30.099357,21.971433,2.363829,3.065436279,0,0,0,0.27,2005
712,Wildlife Resources Commission,728618.3181,77840.1272,1,2,0.403608734,3.760904052,30.099357,21.971433,2.363829,3.065436279,0,0,0,0.27,2006
