PolyFID,Owner,X,Y,burn50,rx_cat3,zmin_d_a,zmin_di,zm_mcov,zm_ccov,Hectares,zmin_drd,prop_timb,Prop_no_b,zmin_dr,zmin_ddv,year
936,Wildlife Resources Commission,730030.5624,89840.72552,0,4,2.057790039,0.713091857,5.196293,1.893406,1.504323,8.646299804,0,0.897414,1.889047363,4.669700195,2004
936,Wildlife Resources Commission,730030.5624,89840.72552,0,4,2.057790039,0.713091857,5.196293,1.893406,1.504323,8.646299804,0,0.897414,0.57,4.669700195,2005
936,Wildlife Resources Commission,730030.5624,89840.72552,0,4,2.057790039,0.713091857,5.196293,1.893406,1.504323,8.646299804,0,0.897414,0.12,4.669700195,2006
936,Wildlife Resources Commission,730030.5624,89840.72552,0,4,2.057790039,0.713091857,5.196293,1.893406,1.504323,8.646299804,0,0.897414,0.12,4.669700195,2007
944,Wildlife Resources Commission,730504.4339,76486.74006,0,4,0.48,3.711401367,14.202423,8.565922,1.01892,3.316051757,0,1,0.123693168,0.3,2004
944,Wildlife Resources Commission,730504.4339,76486.74006,0,4,0.48,3.711401367,14.202423,8.565922,1.01892,3.316051757,0,1,0.123693168,0.3,2005
944,Wildlife Resources Commission,730504.4339,76486.74006,0,4,0.48,3.711401367,14.202423,8.565922,1.01892,3.316051757,0,1,0.042426406,0.3,2006
944,Wildlife Resources Commission,730504.4339,76486.74006,0,4,0.48,3.711401367,14.202423,8.565922,1.01892,3.316051757,0,1,0.042426406,0.3,2007
1069,Wildlife Resources Commission,825097.5398,171872.7765,1,3,38.50235547,49.15297266,9.842185,19.864835,1.959299,0.69,0,0,0.094868331,0.676830871,2004
1069,Wildlife Resources Commission,825097.5398,171872.7765,0,1,38.50235547,49.15297266,9.842185,19.864835,1.959299,0.69,0,0,0,0.676830871,2005
1069,Wildlife Resources Commission,825097.5398,171872.7765,0,2,38.50235547,49.15297266,9.842185,19.864835,1.959299,0.69,0,0,0,0.676830871,2006
1069,Wildlife Resources Commission,825097.5398,171872.7765,1,2,38.50235547,49.15297266,9.842185,19.864835,1.959299,0.69,0,0,0,0.676830871,2007
1175,Wildlife Resources Commission,825219.1545,173150.2385,0,1,39.46533984,50.33504688,1.680283,30.717048,5.968389,1.854427124,0,0,0,1.855397583,2004
1175,Wildlife Resources Commission,825219.1545,173150.2385,0,2,39.46533984,50.33504688,1.680283,30.717048,5.968389,1.854427124,0,0,0,1.855397583,2005
1175,Wildlife Resources Commission,825219.1545,173150.2385,1,2,39.46533984,50.33504688,1.680283,30.717048,5.968389,1.854427124,0,0,0,1.855397583,2006
1175,Wildlife Resources Commission,825219.1545,173150.2385,0,1,39.46533984,50.33504688,1.680283,30.717048,5.968389,1.854427124,0,0,0,1.855397583,2007
1187,Wildlife Resources Commission,825305.0775,174379.1813,0,1,40.60408984,51.31906641,10.245221,43.193885,27.766355,1.4403125,0.012965,0.012965,0,2.580697509,2004
1187,Wildlife Resources Commission,825305.0775,174379.1813,0,2,40.60408984,51.31906641,10.245221,43.193885,27.766355,1.4403125,0.012965,0.012965,0,2.580697509,2005
1187,Wildlife Resources Commission,825305.0775,174379.1813,1,2,40.60408984,51.31906641,10.245221,43.193885,27.766355,1.4403125,0.012965,0.012965,0,2.580697509,2006
1187,Wildlife Resources Commission,825305.0775,174379.1813,0,1,40.60408984,51.31906641,10.245221,43.193885,27.766355,1.4403125,0.012965,0.012965,0,2.580697509,2007
