trial	day	position	treatment	freq
YH.4	4	1	YH	6
YH.4	4	3	YH	7
YH.5	5	2	YH	12
YH.5	5	1	YH	13
YH.5	5	3	YH	11
YH.6	6	1	YH	12
YH.6	6	3	YH	9
YH.6	6	2	YH	15
YH.7	7	3	YH	9
YH.7	7	1	YH	7
YH.7	7	2	YH	20
YT.10	10	2	YT	17
YT.10	10	3	YT	8
YT.10	10	1	YT	11
YT.11	11	1	YT	6
YT.11	11	2	YT	22
YT.11	11	3	YT	8
YT.12	12	1	YT	3
YT.12	12	2	YT	12
YT.12	12	3	YT	21
YT.13	13	3	YT	7
YT.13	13	2	YT	15
YT.13	13	1	YT	2
YT.14	14	3	YT	11
YT.14	14	2	YT	10
YT.14	14	1	YT	15
YT.8	8	2	YT	27
YT.8	8	1	YT	4
YT.8	8	3	YT	5
YT.9	9	2	YT	16
YT.9	9	1	YT	10
YT.9	9	3	YT	10
