Plot,SPP,U,V,W,date,truecover,logw
49,FAGUGRA,10,4.921259843,1.902139981,2001,2,0.642979558
49,JUNIVIR,10,4.921259843,1.902139981,2001,2,0.642979558
49,ULMURUB,1,1.476377953,1.711925983,2001,2,0.537619043
50,CARYOVT,5,2.460629921,0.951069991,2001,2,-0.050167622
50,JUNIVIR,1,3.44488189,9.320485908,2001,2,2.232214763
50,QUERRUB,10,4.921259843,1.902139981,2001,2,0.642979558
50,SMILROT,5,2.460629921,0.951069991,2001,2,-0.050167622
501,CORNFLO,1,1.476377953,1.711925983,1999,2,0.537619043
501,QUERVEL,6,3.937007874,2.662995974,1999,2,0.979451795
501,ULMUALA,5,2.460629921,0.951069991,1999,2,-0.050167622
501,VIBUPRU,2,3.937007874,6.467275936,1999,2,1.86675499
501,VIBURUF,10,4.921259843,1.902139981,1999,2,0.642979558
503,AESCSYL,5,2.460629921,0.951069991,1999,2,-0.050167622
503,JUNIVIR,2,10.82677165,47.55349953,1999,2,3.861855383
503,PRUNSER,11,6.397637795,3.614065964,1999,2,1.284833444
504,AESCSYL,1,1.476377953,1.711925983,1999,2,0.537619043
504,CELTOCC,1,1.476377953,1.711925983,1999,2,0.537619043
504,CHIOVIR,5,2.460629921,0.951069991,1999,2,-0.050167622
504,CORNFLO,2,3.937007874,6.467275936,1999,2,1.86675499
504,MORURUB,1,1.476377953,1.711925983,1999,2,0.537619043
504,QUERVEL,13,9.350393701,7.037917931,1999,2,1.951312378
504,ULMUALA,1,4.429133858,15.40733385,1999,2,2.73484362
504,VIBURUF,6,3.937007874,2.662995974,1999,2,0.979451795
505,ACERBAR,8,6.88976378,6.08684794,1999,2,1.806130368
505,MORURUB,1,5.413385827,23.01589377,1999,2,3.136185011
505,NYSSSYL,11,7.381889764,6.657489934,1999,2,1.895742527
505,VIBUACE,5,2.460629921,0.951069991,1999,2,-0.050167622
506,ACERBAR,16,10.82677165,12.17369588,1999,2,2.499277549
506,AESCSYL,5,2.460629921,0.951069991,1999,2,-0.050167622
506,CARYOVT,5,2.460629921,0.951069991,1999,2,-0.050167622
506,CERCCAN,15,7.381889764,2.853209972,1999,2,1.048444666
506,ILEXAMB,5,2.460629921,0.951069991,1999,2,-0.050167622
506,PRUNSER,5,2.460629921,0.951069991,1999,2,-0.050167622
506,QUERALB,1,6.397637795,32.14616568,1999,2,3.47029318
506,ULMURUB,6,3.937007874,2.662995974,1999,2,0.979451795
506,VIBUPRU,5,2.460629921,0.951069991,1999,2,-0.050167622
508,CERCCAN,10,4.921259843,1.902139981,1999,2,0.642979558
508,CORNFLO,1,2.460629921,4.755349953,1999,2,1.55927029
508,JUNIVIR,3,7.381889764,18.83118581,1999,2,2.935514315
508,PRUNAME,1,3.44488189,9.320485908,1999,2,2.232214763
508,PRUNSER,16,8.858267717,4.565135955,1999,2,1.518448296
508,VIBUPRU,7,5.413385827,4.374921957,1999,2,1.475888681
508,VIBURUF,1,1.476377953,1.711925983,1999,2,0.537619043
509,CARYGLA,1,4.429133858,15.40733385,1999,2,2.73484362
509,CORNFLO,1,2.460629921,4.755349953,1999,2,1.55927029
